ds_name,target,metric,value,model
Bar_Crawl,x,SQL,0.5998180728515505,Chronos[tiny]
Bar_Crawl,x,WQL,1.0573771052028893,Chronos[tiny]
Bar_Crawl,x,MAE,0.1544985275284394,Chronos[tiny]
Bar_Crawl,x,MASE,0.6550656755868541,Chronos[tiny]
Bar_Crawl,x,WAPE,1.1357182848800116,Chronos[tiny]
Bar_Crawl,x,MSE,0.6626896751725785,Chronos[tiny]
Bar_Crawl,x,RMSE,0.8140575379987453,Chronos[tiny]
Bar_Crawl,x,RMSLE,0.2630537044576474,Chronos[tiny]
Bar_Crawl,x,RMSSE,0.7499789192603402,Chronos[tiny]
Bar_Crawl,x,MAPE,7.951806586748965,Chronos[tiny]
Bar_Crawl,x,SMAPE,1.47169609126926,Chronos[tiny]
Bar_Crawl,y,SQL,0.583244667408799,Chronos[bolt_small]
Bar_Crawl,y,WQL,1.0058356831189172,Chronos[bolt_small]
Bar_Crawl,y,MAE,5330752.038696181,Chronos[bolt_small]
Bar_Crawl,y,MASE,0.6232694650856847,Chronos[bolt_small]
Bar_Crawl,y,WAPE,1.1175944380234644,Chronos[bolt_small]
Bar_Crawl,y,MSE,820318261163036.5,Chronos[bolt_small]
Bar_Crawl,y,RMSE,28641198.668404862,Chronos[bolt_small]
Bar_Crawl,y,RMSLE,1.4474915209651704,Chronos[bolt_small]
Bar_Crawl,y,RMSSE,0.7135883186901376,Chronos[bolt_small]
Bar_Crawl,y,MAPE,700110372.8470355,Chronos[bolt_small]
Bar_Crawl,y,SMAPE,1.4922360906265926,Chronos[bolt_small]
Bar_Crawl,z,SQL,0.586560805347625,Chronos[bolt_small]
Bar_Crawl,z,WQL,0.938412548553264,Chronos[bolt_small]
Bar_Crawl,z,MAE,5009270.437975045,Chronos[bolt_small]
Bar_Crawl,z,MASE,0.6543526692994824,Chronos[bolt_small]
Bar_Crawl,z,WAPE,1.0501956818086162,Chronos[bolt_small]
Bar_Crawl,z,MSE,837322300334711.8,Chronos[bolt_small]
Bar_Crawl,z,RMSE,28936521.911499865,Chronos[bolt_small]
Bar_Crawl,z,RMSLE,4.663023001830725,Chronos[bolt_small]
Bar_Crawl,z,RMSSE,0.6940265777660419,Chronos[bolt_small]
Bar_Crawl,z,MAPE,46567436.86926977,Chronos[bolt_small]
Bar_Crawl,z,SMAPE,1.3914620095546342,Chronos[bolt_small]
Bejing,pm2.5,SQL,1.17370800907586,Chronos[bolt_small]
Bejing,pm2.5,WQL,0.4991742828275093,Chronos[bolt_small]
Bejing,pm2.5,MAE,60.40502408032347,Chronos[bolt_small]
Bejing,pm2.5,MASE,1.487922261448426,Chronos[bolt_small]
Bejing,pm2.5,WAPE,0.6371374475628794,Chronos[bolt_small]
Bejing,pm2.5,MSE,9376.895438518908,Chronos[bolt_small]
Bejing,pm2.5,RMSE,96.8343711629239,Chronos[bolt_small]
Bejing,pm2.5,RMSLE,0.9670413728667836,Chronos[bolt_small]
Bejing,pm2.5,RMSSE,1.556239689372712,Chronos[bolt_small]
Bejing,pm2.5,MAPE,1.3615869702783614,Chronos[bolt_small]
Bejing,pm2.5,SMAPE,0.6474693164912074,Chronos[bolt_small]
Bejing,DEWP,SQL,1.4364510101942471,Chronos[bolt_small]
Bejing,DEWP,WQL,0.2743484975617497,Chronos[bolt_small]
Bejing,DEWP,MAE,4.410926423908677,Chronos[bolt_small]
Bejing,DEWP,MASE,1.8252435398585607,Chronos[bolt_small]
Bejing,DEWP,WAPE,0.3521313368739756,Chronos[bolt_small]
Bejing,DEWP,MSE,32.53387338141292,Chronos[bolt_small]
Bejing,DEWP,RMSE,5.703847243870834,Chronos[bolt_small]
Bejing,DEWP,RMSLE,0.8024804418611754,Chronos[bolt_small]
Bejing,DEWP,RMSSE,1.7829590754994806,Chronos[bolt_small]
Bejing,DEWP,MAPE,0.6942845278772607,Chronos[bolt_small]
Bejing,DEWP,SMAPE,0.5463081016665787,Chronos[bolt_small]
Bejing,TEMP,SQL,0.3150680818623394,Chronos[bolt_small]
Bejing,TEMP,WQL,0.106934819135067,Chronos[bolt_small]
Bejing,TEMP,MAE,2.0240559234807733,Chronos[bolt_small]
Bejing,TEMP,MASE,0.4106424334550905,Chronos[bolt_small]
Bejing,TEMP,WAPE,0.1393366901273487,Chronos[bolt_small]
Bejing,TEMP,MSE,6.220960099636873,Chronos[bolt_small]
Bejing,TEMP,RMSE,2.494185257681729,Chronos[bolt_small]
Bejing,TEMP,RMSLE,0.3407345489075055,Chronos[bolt_small]
Bejing,TEMP,RMSSE,0.4192260800889308,Chronos[bolt_small]
Bejing,TEMP,MAPE,0.3489161151010994,Chronos[bolt_small]
Bejing,TEMP,SMAPE,0.3637404766577907,Chronos[bolt_small]
Bejing,PRES,SQL,1.3104351485572443,Chronos[bolt_small]
Bejing,PRES,WQL,0.0025095881583319,Chronos[bolt_small]
Bejing,PRES,MAE,3.258282959461212,Chronos[bolt_small]
Bejing,PRES,MASE,1.6762081528984876,Chronos[bolt_small]
Bejing,PRES,WAPE,0.0032026371391681,Chronos[bolt_small]
Bejing,PRES,MSE,18.686104402953788,Chronos[bolt_small]
Bejing,PRES,RMSE,4.322742694511644,Chronos[bolt_small]
Bejing,PRES,RMSLE,0.004233249508663,Chronos[bolt_small]
Bejing,PRES,RMSSE,1.6990151460346672,Chronos[bolt_small]
Bejing,PRES,MAPE,0.0031956649782022,Chronos[bolt_small]
Bejing,PRES,SMAPE,0.0031975556191432,Chronos[bolt_small]
Down_Jones,close,SQL,0.7837106512912042,Chronos[bolt_small]
Down_Jones,close,WQL,0.3530948704962969,Chronos[bolt_small]
Down_Jones,close,MAE,24.8787212857604,Chronos[bolt_small]
Down_Jones,close,MASE,1.0002375239420682,Chronos[bolt_small]
Down_Jones,close,WAPE,0.4508180755506114,Chronos[bolt_small]
Down_Jones,close,MSE,1188.308772820845,Chronos[bolt_small]
Down_Jones,close,RMSE,34.47185479229171,Chronos[bolt_small]
Down_Jones,close,RMSLE,0.6118457891911494,Chronos[bolt_small]
Down_Jones,close,RMSSE,0.8388404493708209,Chronos[bolt_small]
Down_Jones,close,MAPE,0.5437825587196304,Chronos[bolt_small]
Down_Jones,close,SMAPE,0.4631601645477347,Chronos[bolt_small]
Down_Jones,volume,SQL,0.556799710643201,Chronos[bolt_small]
Down_Jones,volume,WQL,0.5900125935656574,Chronos[bolt_small]
Down_Jones,volume,MAE,62602721.611328125,Chronos[bolt_small]
Down_Jones,volume,MASE,0.6589307484051832,Chronos[bolt_small]
Down_Jones,volume,WAPE,0.6970012591680221,Chronos[bolt_small]
Down_Jones,volume,MSE,9671123929092992.0,Chronos[bolt_small]
Down_Jones,volume,RMSE,98341872.71499863,Chronos[bolt_small]
Down_Jones,volume,RMSLE,0.9283863246157849,Chronos[bolt_small]
Down_Jones,volume,RMSSE,0.5788159296628692,Chronos[bolt_small]
Down_Jones,volume,MAPE,0.9815157710511232,Chronos[bolt_small]
